trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
129,False,"{'a': 0.01, 'e': 0.7751937984496123}",30,-38,-170.36512380190584,"{0: 52, 1: 3, 2: 7, 3: 4, 4: 2}",0
130,False,"{'a': 0.01, 'e': 0.7692307692307692}",20,6,4.27692146613151,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.7633587786259541}",30,-100,-497.41216495823085,"{0: 92, 1: 8, 2: 16, 3: 6, 4: 8}",0
132,False,"{'a': 0.01, 'e': 0.7575757575757576}",20,-25,-101.70087812605236,"{0: 35, 1: 1, 2: 6, 3: 1, 4: 2}",0
133,False,"{'a': 0.01, 'e': 0.7518796992481203}",25,-23,-139.98888245329283,"{0: 32, 1: 3, 2: 11, 3: 1, 4: 1}",0
134,False,"{'a': 0.01, 'e': 0.7462686567164178}",20,9,-15.315976772781898,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.7407407407407407}",25,-10,-78.584280250089,"{0: 26, 1: 4, 2: 2, 3: 2, 4: 1}",0
136,False,"{'a': 0.01, 'e': 0.7352941176470588}",20,1,-100.81942362942797,"{0: 9, 1: 3, 2: 4, 3: 3, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.7299270072992701}",25,-5,-115.890409715404,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
138,False,"{'a': 0.01, 'e': 0.7246376811594202}",20,-16,-216.9190615300161,"{0: 20, 1: 5, 2: 7, 3: 0, 4: 4}",0
139,False,"{'a': 0.01, 'e': 0.7194244604316546}",25,-48,-374.0266967952739,"{0: 49, 1: 3, 2: 11, 3: 4, 4: 6}",0
140,False,"{'a': 0.01, 'e': 0.7142857142857142}",25,-3,-64.70393070682509,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 1}",0
141,False,"{'a': 0.01, 'e': 0.7092198581560284}",20,-59,-252.66364944365696,"{0: 53, 1: 4, 2: 18, 3: 1, 4: 3}",0
142,False,"{'a': 0.01, 'e': 0.7042253521126761}",25,-2,-47.256011791954634,"{0: 23, 1: 0, 2: 2, 3: 1, 4: 1}",0
143,False,"{'a': 0.01, 'e': 0.6993006993006994}",20,-51,-232.99834324624499,"{0: 49, 1: 7, 2: 10, 3: 1, 4: 4}",0
144,False,"{'a': 0.01, 'e': 0.6944444444444444}",20,9,6.139254544757469,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.6896551724137931}",25,10,-11.902262665683637,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.684931506849315}",25,-4,-231.32197832095576,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 5}",0
147,False,"{'a': 0.01, 'e': 0.6802721088435374}",20,-47,-89.39877316867995,"{0: 51, 1: 3, 2: 11, 3: 2, 4: 0}",0
148,False,"{'a': 0.01, 'e': 0.6756756756756757}",30,-78,-405.4743198648466,"{0: 78, 1: 6, 2: 12, 3: 5, 4: 7}",0
149,False,"{'a': 0.01, 'e': 0.6711409395973155}",20,-12,-22.18519166053003,"{0: 24, 1: 3, 2: 5, 3: 0, 4: 0}",0
150,False,"{'a': 0.01, 'e': 0.6666666666666666}",25,-12,-77.61844714533791,"{0: 27, 1: 1, 2: 8, 3: 0, 4: 1}",0
151,False,"{'a': 0.01, 'e': 0.6622516556291391}",30,-33,-242.42772012826032,"{0: 45, 1: 4, 2: 8, 3: 1, 4: 5}",0
152,False,"{'a': 0.01, 'e': 0.6578947368421053}",25,-6,-32.83704077953172,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 1}",0
153,False,"{'a': 0.01, 'e': 0.6535947712418301}",25,-72,-250.3437067603615,"{0: 71, 1: 5, 2: 14, 3: 4, 4: 3}",0
154,False,"{'a': 0.01, 'e': 0.6493506493506493}",25,14,-4.543925890298807,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.6451612903225806}",30,7,-151.3520587811609,"{0: 13, 1: 4, 2: 1, 3: 3, 4: 2}",1
156,False,"{'a': 0.01, 'e': 0.641025641025641}",25,-11,-88.20802597074538,"{0: 25, 1: 3, 2: 7, 3: 0, 4: 1}",0
157,False,"{'a': 0.01, 'e': 0.6369426751592356}",25,-27,-63.74820617109386,"{0: 40, 1: 7, 2: 3, 3: 1, 4: 1}",0
158,False,"{'a': 0.01, 'e': 0.6329113924050632}",30,21,-9.782938780892358,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.01, 'e': 0.6289308176100629}",30,0,-104.18103472252068,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",1
160,False,"{'a': 0.01, 'e': 0.625}",30,-5,-190.44485173976378,"{0: 22, 1: 0, 2: 9, 3: 1, 4: 3}",0
161,False,"{'a': 0.01, 'e': 0.6211180124223602}",20,-13,5.223247131923783,"{0: 28, 1: 3, 2: 1, 3: 1, 4: 0}",0
162,False,"{'a': 0.01, 'e': 0.6172839506172839}",20,5,15.918970662580957,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.01, 'e': 0.6134969325153374}",20,0,-72.92100301200144,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
164,False,"{'a': 0.01, 'e': 0.6097560975609756}",25,-8,-95.39941717217357,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 3}",0
165,False,"{'a': 0.01, 'e': 0.606060606060606}",20,11,-33.7448202863959,"{0: 5, 1: 1, 2: 2, 3: 1, 4: 0}",1
166,False,"{'a': 0.01, 'e': 0.6024096385542168}",30,-29,-273.0272249930192,"{0: 41, 1: 3, 2: 8, 3: 2, 4: 5}",0
167,False,"{'a': 0.01, 'e': 0.5988023952095809}",20,3,4.484365853203885,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.01, 'e': 0.5952380952380952}",30,2,-170.06746598861164,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 3}",1
169,False,"{'a': 0.01, 'e': 0.591715976331361}",25,-2,13.994666314890203,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 0}",0
